col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
5e62bf3aef25df51135385a6,0,0,12,0,12,11,0,0,0,23:06.2,5e62bc5def25df51135385a3
5e62cf4b6ffda4487364f75c,0,0,0,0,0,0,0,0,0,31:39.6,5e62ceb06ffda4487364f75b
5e62d1ba6ffda4487364f75f,0,0,0,5,5,5,0,0,0,42:02.1,5e62cfd5ef25df51135385b9
5e6411a9789957f84988d134,0,0,0,10,10,5,0,0,10,27:05.8,5e641008789957f84988d12b
5e641593789957f84988d144,0,0,0,0,0,0,0,0,0,43:47.2,5e641507ae7e33fbc93cdd19
5e641875ae7e33fbc93cdd22,0,0,0,0,0,0,0,0,0,56:05.3,5e64160e789957f84988d146
5e6425c4227b657a749950e4,4,0,0,4,0,4,0,0,0,52:53.0,5e64217364a3fd81b68688f3
5e647a7bbec095b4abe6d64b,0,0,0,0,0,0,0,0,15,54:19.9,5e6478e6f5e822730e8d725e
5e64f6c415730e913ec09a3a,0,0,0,0,0,0,0,0,0,44:36.4,5e64f5799472cb582b7b95ca
5e650a1d9472cb582b7b95da,5,5,0,0,5,5,5,5,5,07:09.2,5e65081715730e913ec09a43
5e650fb59472cb582b7b95de,5,0,5,5,5,5,5,0,5,31:01.6,5e650f1015730e913ec09a47
5e656ec6d7a1ad88f0ff198f,0,0,0,0,0,0,0,0,0,16:38.5,5e656d9ed7a1ad88f0ff198d
5e65850b589199f402cad4d5,0,0,7,0,0,0,0,0,3,51:39.1,5e658402fe502a94cd3068ab
5e664ce04e03dda6b1aa365f,3,1,0,5,2,1,1,0,0,04:16.9,5e664bf44e03dda6b1aa365b
5e664f7eeaa71621a7de999b,1,0,0,0,0,0,0,0,0,15:26.3,5e664d6c4e03dda6b1aa3660
5e665121eaa71621a7de99a2,0,0,0,0,0,0,0,0,0,22:25.2,5e6650464e03dda6b1aa3667
5e66573f4e03dda6b1aa3672,5,0,0,5,0,0,0,0,0,48:32.0,5e6656b2eaa71621a7de99a8
5e665c40eaa71621a7de99af,1,0,2,2,1,3,2,0,0,09:52.6,5e665babeaa71621a7de99ad
5e668120c1f03bc722af84bd,5,0,0,0,0,5,0,5,0,47:12.8,5e667dd0c1f03bc722af84bb
5e66de137152a9a26e2cad17,1,1,3,1,1,3,1,2,2,23:47.6,5e66dcc47152a9a26e2cad14
5e67ea6001cfd97a4a60f9a3,0,0,0,0,0,0,0,0,0,28:32.6,5e67e8ba01cfd97a4a60f99e
5e67eb0c01cfd97a4a60f9a6,0,0,0,0,0,0,0,0,0,31:24.8,5e67e97fd8c74da9522a396c
5e687ee145f62f90eca9b108,3,3,3,3,3,5,3,3,5,02:09.3,5e687c1f45f62f90eca9b102
5e687e0797370349abe9e52e,5,5,1,5,2,5,5,2,5,58:31.7,5e687c8d45f62f90eca9b103
5e68aa3c45f62f90eca9b137,5,5,5,1,5,5,2,2,5,07:08.5,5e68a87145f62f90eca9b130
5e68cc0397370349abe9e589,0,0,0,0,0,0,0,0,0,31:15.5,5e68cb4597370349abe9e587
5e68ccfd45f62f90eca9b156,1,2,0,2,1,1,0,0,0,35:25.5,5e68cc0445f62f90eca9b152
5e68ce2297370349abe9e58e,0,0,0,0,0,0,0,1,1,40:18.5,5e68ccb445f62f90eca9b154
5e68ed1297370349abe9e5c2,0,0,0,0,31,0,0,0,0,52:18.6,5e68ea5445f62f90eca9b17f
5e68edea97370349abe9e5c5,10,0,0,0,0,0,0,0,0,55:54.8,5e68ec7497370349abe9e5c0
5e6901cd45f62f90eca9b19a,10,0,0,10,0,15,0,0,0,20:46.0,5e69001f97370349abe9e5d6
5e697adf0a4c4141ce2a4447,0,0,0,0,0,0,0,5,5,57:19.9,5e6979c50a4c4141ce2a4444
5e69e3b25b4cc647876e3835,0,0,0,20,15,0,0,0,0,24:34.3,5e69dfed0f4ac1a30c21d624
