col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
,Overseas,Norma Fisher,,,Norma Fisher,Current,Norma Fisher,,,"184 Gulshan Avenue, Gulsha 2, Dhaka 1212, BANGLADESH",,,,,,,Norma Fisher,"711 Golden Overpass
West Andreaville, MA 71317",,,,,23.7818117,90.4166798,,,,,,,"phone: +880 2 881 3101-5, fax: +880 2 881 1125, web: http://www.bangladesh.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Jorge Sullivan,,,Jorge Sullivan,Current,Jorge Sullivan,,,"11th Floor World Trade Centre, Corniche El Nil Boulac, Code No.11111, Cairo, EGYPT",,,,,,,Jorge Sullivan,"1965 Kelly Field Apt. 094
Jonesberg, FL 05565",,,,,30.0444196,31.2357116,,,,,,,"phone: +202 2770 6600, fax: +202 2770 6650, web: http://www.egypt.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Elizabeth Woods,,,Elizabeth Woods,Current,Elizabeth Woods,,,"Hilton Hotel, Menelik II Avenue, Addis Ababa, ETHIOPIA",,,,,,,Elizabeth Woods,"848 Melissa Springs Suite 947
Kellerstad, MD 80819",,,,,9.022736,38.746799,,,,,,,"phone: +251 11 552 3320, fax: +251 11 552 3344, web: http://ethiopia.embassy.gov.au/adba/home.html, exact latitude/longitude not provided by AEC"
,Overseas,Susan Wagner,,,Susan Wagner,Current,Susan Wagner,,,"Main Tower, 28th Floor, Neue Mainzer Strasse, 52-58, Frankfurt 60311, GERMANY",,,,,,,Susan Wagner,"30413 Norton Isle Suite 012
North Lisa, ND 79428",,,,,50.1122571,8.6725576,,,,,,,"phone: +49 69 9055 80, fax: +49 69 9055 8119, web: http://www.dfat.gov.au/missions/countries/defr.html, exact latitude/longitude not provided by AEC"
,Overseas,Peter Montgomery,,,Peter Montgomery,Current,Peter Montgomery,,,"No. 2, 23rd Street, Khalid Islambuli Ave, Tehran 15138, IRAN",,,,,,,Peter Montgomery,"39916 Mitchell Crescent
New Andrewburgh, DE 63315",,,,,35.7048679,51.4000833,,,,,,,"phone: +98 21 8386 3666, fax: +98 21 8872 0484, web: http://www.iran.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Theodore Mcgrath,,,Theodore Mcgrath,Current,Theodore Mcgrath,,,"International Zone, Baghdad, IRAQ",,,,,,,Theodore Mcgrath,"086 Mary Cliff
North Deborah, NE 24135",,,,,33.3033333,44.3541667,,,,,,,"phone: +964 790 191 2359, fax: , web: http://www.iraq.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Stephanie Collins,,,Stephanie Collins,Current,Stephanie Collins,,,"7th Floor Tenjin Twin Building, 1-6-8 Tenjin, Chuo-ku, Fukuoka 810-0001, JAPAN",,,,,,,Stephanie Collins,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475",,,,,33.5902074,130.3976602,,,,,,,"phone: +81 92 734 5055, fax: +81 92 734 5058, web: http://www.dfat.gov.au/missions/countries/jpfu.html, exact latitude/longitude not provided by AEC"
,Overseas,Stephanie Sutton,,,Stephanie Sutton,Current,Stephanie Sutton,,,"Twin 21 MID Tower, 16th Floor,, 2-1-61, Shiromi, Chuo-ku, Osaka 540-6116, JAPAN",,,,,,,Stephanie Sutton,"6984 Price Shoals
Erictown, WA 10865",,,,,34.6927995,135.5314599,,,,,,,"phone: +81 6 6941 9448, fax: +81 6 6920 4543, web: http://www.dfat.gov.au/missions/countries/jpos.html, exact latitude/longitude not provided by AEC"
,Overseas,Brian Hamilton,,,Brian Hamilton,Current,Brian Hamilton,,,"17th Floor, Sapporo Centre Building, North 5, West 6-2, Chuo-ku, Sapporo 060-0005, JAPAN",,,,,,,Brian Hamilton,"423 Bell Heights
Brittanyberg, ME 51359",,,,,43.065442,141.3365573,,,,,,,"phone: +81 11 242 4381, fax: +81 11 242 4383, web: http://www.dfat.gov.au/missions/countries/jpsa.html, exact latitude/longitude not provided by AEC"
,Overseas,Susan Levy,,,Susan Levy,Current,Susan Levy,,,"2nd Floor Rogers House, 5 President John Kennedy Street, Port Louis, MAURITIUS",,,,,,,Susan Levy,"93523 Dana Lane
Johnsonshire, WI 87296",,,,,-20.1619906,57.5004751,,,,,,,"phone: +230 202 0160, fax: +230 208 8878, web: http://www.mauritius.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Sean Green,,,Sean Green,Current,Sean Green,,,"7th Floor, Immeuble Foch, 19 Avenue Du Marechal Foch, Noumea, NEW CALEDONIA",,,,,,,Sean Green,"1427 Odonnell Rapids
North Troyport, NH 07035",,,,,-22.2705486,166.4426001,,,,,,,"phone: +687 272 414, fax: +687 278 001, web: http://www.australianconsulatenoumea.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Kimberly Smith,,,Kimberly Smith,Current,Kimberly Smith,,,"5th Floor Oakland Centre, 48 Aguiyi Ironsi Street, Maitama, Abuja, NIGERIA",,,,,,,Kimberly Smith,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,,,,9.0839704,7.4840069,,,,,,,"phone: +234 9 4612780, fax: +234 9 4612782, web: http://www.nigeria.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Jennifer Summers,,,Jennifer Summers,Current,Jennifer Summers,,,"Constitution Ave & Ispahani Rd, Diplomatic Enclave No.1, Sector G-5/4, Islamabad, PAKISTAN",,,,,,,Jennifer Summers,"76104 Marsh Crescent
Dennishaven, SD 85034",,,,,33.6994709,73.0472004,,,,,,,"phone: +92 51 835 5500, fax: +92 51 282 0112, web: http://www.pakistan.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,April Snyder,,,April Snyder,Current,April Snyder,,,"Abdullah bin Hozafa Al-Sahmi Avenue, Diplomatic Quarter, Riyadh, SAUDI ARABIA",,,,,,,April Snyder,"0003 Grant Lakes
Port Karafort, SD 60619",,,,,24.6778267,46.6222727,,,,,,,"phone: +966 11 250 0900, fax: +966 11 250 0902, web: http://www.saudiarabia.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,Dana Nguyen,,,Dana Nguyen,Current,Dana Nguyen,,,"Ugur Mumcu Caddesi No.88 7th floor, Gaziosmanpasa 6700, Ankara, TURKEY",,,,,,,Dana Nguyen,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",,,,,39.8957656,32.8789463,,,,,,,"phone: +90 312 459 9500, fax: +90 312 446 4827, web: www.turkey.embassy.gov.au, exact latitude/longitude not provided by AEC"
,Overseas,Cheryl Bradley,,,Cheryl Bradley,Current,Cheryl Bradley,,,"Bogazkent Mevki, Kolin Hotel L2, Kepez/Canakkale, TURKEY",,,,,,,Cheryl Bradley,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",,,,,40.155312,26.41416,,,,,,,"phone: +90 286 218 1721, fax: +90 286 218 1724, web: http://www.dfat.gov.au/missions/countries/trck.html, exact latitude/longitude not provided by AEC"
