col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54
4/18/19 8:28,4/18/19 8:52,0,"02907 Matthew Branch Suite 493
New Sharonview, HI 69907",100,1457,1,4/18/19 8:52,R_1oArSRrfLJOIYyi,,,staffordlisa@flores-lowe.com,,,,anonymous,EN,P2,5.0,1.0,7.0,8.0,3.0,1.0,6.0,1.0,6.0,3.0,5.0,6.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,8.0,7.0,6.0,8.0,7.0,2.0,3.0,4.0,5.0,2.0,6.0,8.0,5.0,6.0,3.0,8.0,1457
4/18/19 8:28,4/18/19 8:53,0,"188 Fischer Grove
Justinchester, VT 37258",100,1492,1,4/18/19 8:53,R_9BUwbMqqEmgLSIp,,,oburnett@gmail.com,,,,anonymous,EN,,5.0,1.0,7.0,4.0,3.0,1.0,2.0,1.0,8.0,4.0,5.0,6.0,5.0,1.0,8.0,4.0,6.0,7.0,3.0,2.0,8.0,7.0,5.0,3.0,7.0,8.0,3.0,5.0,7.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1492
4/18/19 10:45,4/18/19 11:10,0,"USNV Branch
FPO AE 92981",100,1508,1,4/18/19 11:10,R_1LeAps6MEYcGLnT,,,anthonyday@johns.biz,,,,anonymous,EN,p4,4.0,1.0,7.0,4.0,3.0,1.0,6.0,1.0,8.0,4.0,5.0,6.0,2.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,8.0,8.0,3.0,7.0,7.0,6.0,4.0,4.0,,,,,,,,,1508
4/23/19 13:18,4/23/19 13:38,0,"82965 Herring Points
Fieldsbury, AK 47978",100,1207,1,4/23/19 13:38,R_26c2VpRruPu2fle,,,zerickson@smith-taylor.biz,,,,anonymous,EN,p6,5.0,1.0,7.0,1.0,3.0,1.0,6.0,3.0,7.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,7.0,3.0,3.0,4.0,8.0,8.0,8.0,8.0,3.0,1.0,7.0,1.0,2.0,5.0,7.0,8.0,3.0,1.0,1.0,1207
4/23/19 13:23,4/23/19 13:48,0,"357 Jessica Gateway
West Jacob, MT 10714",100,1528,1,4/23/19 13:48,R_10Uip5KM3PjpNey,,,ycunningham@schneider.com,,,,anonymous,EN,p5,5.0,1.0,7.0,4.0,3.0,1.0,2.0,1.0,8.0,4.0,5.0,1.0,6.0,1.0,8.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,1.0,2.0,7.0,3.0,2.0,7.0,5.0,7.0,4.0,8.0,6.0,4.0,6.0,1528
4/23/19 12:58,4/23/19 12:58,0,"781 Frank Circles
Waltersview, NE 99818",5,18,0,4/23/19 16:58,R_UZ6LG7SQdX8U46Z,,,nwilliams@adams.info,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
4/23/19 13:39,4/23/19 13:39,0,"40704 Kathryn Lights Suite 609
Gomezshire, OK 93626",5,15,0,4/23/19 17:39,R_2ASZ9gBsLZzQarH,,,obaker@hotmail.com,,,,anonymous,EN,p6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4/23/19 13:38,4/23/19 13:39,8,"7820 Ashlee Key
Adamborough, DE 88502",5,36,0,4/23/19 17:39,R_2XogE7D6DAr7rEt,,,kevinlynch@gmail.com,,,,anonymous,EN,p6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
4/25/19 8:35,4/25/19 8:45,0,"0562 Russell Divide
South Michelle, AR 21854",100,608,1,4/25/19 8:45,R_3dPWGC730vWetrz,,,riverstimothy@hotmail.com,,,,anonymous,EN,P7,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,8.0,8.0,1.0,5.0,3.0,7.0,4.0,1.0,4.0,2.0,3.0,8.0,4.0,7.0,4.0,2.0,5.0,8.0,2.0,3.0,6.0,6.0,5.0,2.0,4.0,3.0,4.0,6.0,608
4/26/19 10:50,4/26/19 11:08,0,"0808 Herring Key
North Anitaview, KS 43484",100,1068,1,4/26/19 11:08,R_1kTAr9YEPof2lU1,,,bakerjerry@gmail.com,,,,anonymous,EN,P8,5.0,1.0,8.0,4.0,3.0,1.0,2.0,1.0,8.0,7.0,5.0,6.0,1.0,1.0,2.0,5.0,6.0,1.0,8.0,3.0,8.0,4.0,2.0,1.0,8.0,5.0,6.0,4.0,5.0,4.0,2.0,4.0,7.0,3.0,4.0,8.0,1068
4/26/19 10:50,4/26/19 11:12,0,"8727 Benjamin Prairie Apt. 805
East Deborahmouth, IA 60619",100,1350,1,4/26/19 11:12,R_puv9OKrX9bH1GvL,,,michaeldavis@hotmail.com,,,,anonymous,EN,P9,5.0,1.0,7.0,2.0,3.0,1.0,6.0,1.0,1.0,3.0,1.0,5.0,6.0,1.0,8.0,5.0,2.0,6.0,5.0,8.0,4.0,8.0,6.0,1.0,5.0,8.0,4.0,6.0,4.0,5.0,3.0,8.0,1.0,4.0,1.0,6.0,1350
4/26/19 13:01,4/26/19 13:23,0,"278 Amy View Suite 011
Lawsonshire, MA 50054",100,1368,1,4/26/19 13:23,R_7VCNCtdZt2OeqfD,,,brendagonzalez@atkins.org,,,,anonymous,EN,P10,5.0,1.0,7.0,4.0,3.0,1.0,2.0,1.0,8.0,4.0,5.0,6.0,2.0,1.0,2.0,4.0,4.0,7.0,3.0,8.0,8.0,8.0,1.0,3.0,7.0,2.0,8.0,2.0,6.0,5.0,6.0,7.0,8.0,3.0,3.0,3.0,1368
4/26/19 13:01,4/26/19 13:27,0,"50220 Blackwell Fields
South Deannaport, MS 07347",100,1537,1,4/26/19 13:27,R_vCzBDjUUt8nhsEp,,,velazquezanita@yahoo.com,,,,anonymous,EN,P11,5.0,1.0,7.0,4.0,3.0,1.0,2.0,3.0,8.0,4.0,5.0,6.0,8.0,1.0,2.0,4.0,6.0,7.0,3.0,2.0,1.0,7.0,5.0,3.0,4.0,8.0,4.0,2.0,1.0,4.0,3.0,8.0,3.0,3.0,,,1537
4/26/19 13:00,4/26/19 13:01,0,"1607 Munoz River
Emilyshire, NH 54532",5,47,0,4/26/19 17:01,R_aboIS2wPXdpU0ZH,,,allentyler@hill-smith.com,,,,anonymous,EN,P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
4/30/19 13:15,4/30/19 13:20,0,"3615 David Keys Apt. 269
West Stephenside, UT 65516",100,302,1,4/30/19 13:20,R_1OZVDwyyvaHEiaQ,,,jonesashley@gmail.com,,,,anonymous,EN,p12,5.0,4.0,7.0,8.0,5.0,7.0,3.0,3.0,8.0,7.0,6.0,7.0,7.0,6.0,3.0,4.0,4.0,6.0,1.0,2.0,1.0,5.0,4.0,6.0,3.0,4.0,4.0,6.0,3.0,7.0,2.0,5.0,1.0,6.0,3.0,5.0,302
5/2/19 9:02,5/2/19 9:13,0,"640 Mary Common
Michaelville, AZ 20721",100,626,1,5/2/19 9:13,R_2aV1IjSTmyYpoNQ,,,jvalencia@gmail.com,,,,anonymous,EN,p13,5.0,2.0,7.0,5.0,3.0,7.0,7.0,3.0,4.0,2.0,5.0,8.0,6.0,3.0,2.0,7.0,6.0,2.0,8.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,2.0,5.0,3.0,4.0,7.0,1.0,4.0,6.0,4.0,1.0,626
5/2/19 13:20,5/2/19 13:38,0,"PSC 4006, Box 5282
APO AE 23388",100,1066,1,5/2/19 13:38,R_2Soz8LP0zWb3L5V,,,juliacastillo@yahoo.com,,,,anonymous,EN,P14,1.0,1.0,7.0,8.0,3.0,1.0,2.0,1.0,8.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,7.0,5.0,1.0,7.0,2.0,5.0,4.0,7.0,5.0,7.0,1.0,4.0,3.0,4.0,3.0,1066
5/2/19 13:18,5/2/19 13:40,0,"395 Timothy Road
Williamsbury, LA 43567",100,1317,1,5/2/19 13:40,R_2YPMUDa3jdDuAsS,,,xsalazar@gmail.com,,,,anonymous,EN,P15,5.0,1.0,7.0,4.0,3.0,1.0,6.0,1.0,8.0,4.0,5.0,6.0,2.0,1.0,2.0,5.0,6.0,7.0,3.0,8.0,8.0,7.0,6.0,3.0,7.0,2.0,4.0,2.0,8.0,6.0,8.0,4.0,5.0,5.0,1.0,5.0,1317
5/3/19 10:52,5/3/19 11:12,0,"3267 Walter Dam
Cunninghamtown, OR 01239",100,1206,1,5/3/19 11:12,R_31a9Y2h8XLBx3fH,,,vincent73@hotmail.com,,,,anonymous,EN,P17,5.0,1.0,7.0,4.0,3.0,1.0,6.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,8.0,4.0,8.0,1.0,5.0,8.0,4.0,2.0,6.0,8.0,8.0,8.0,3.0,8.0,7.0,7.0,3.0,2.0,4.0,1.0,1.0,8.0,1206
5/3/19 11:10,5/3/19 11:17,0,"00580 Brandon Creek
Port Eric, MS 03966",100,427,1,5/3/19 11:17,R_2yqlYgQPzz25lRV,,,ryan56@hotmail.com,,,,anonymous,EN,P16,5.0,1.0,7.0,5.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,7.0,7.0,4.0,7.0,1.0,8.0,3.0,3.0,1.0,4.0,1.0,7.0,8.0,8.0,8.0,7.0,3.0,8.0,8.0,5.0,3.0,2.0,3.0,4.0,1.0,427
5/3/19 12:59,5/3/19 13:19,0,"325 Amanda Cliffs Apt. 695
South Paulabury, MS 29996",100,1233,1,5/3/19 13:19,R_pEoveEmf8EOuyhb,,,castillokelly@yahoo.com,,,,anonymous,EN,p18,1.0,1.0,7.0,4.0,3.0,1.0,6.0,1.0,8.0,4.0,5.0,6.0,6.0,1.0,2.0,4.0,6.0,7.0,8.0,8.0,4.0,7.0,5.0,1.0,1.0,6.0,7.0,2.0,6.0,8.0,2.0,8.0,4.0,3.0,1.0,1.0,1233
5/3/19 12:59,5/3/19 13:20,0,"PSC 3769, Box 1448
APO AA 71586",100,1279,1,5/3/19 13:20,R_1FS87jnDgV7VS3c,,,sarah25@perez-becker.biz,,,,anonymous,EN,P19,1.0,1.0,7.0,5.0,3.0,1.0,6.0,2.0,8.0,4.0,5.0,6.0,3.0,1.0,8.0,4.0,6.0,7.0,3.0,4.0,4.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,5.0,1.0,7.0,7.0,2.0,6.0,1.0,8.0,1279
