col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,1,2726149304,1,78,78,2000/12/17 4:55,2000/12/17 4:55,无,96,37104,55,72876,43,34289,无,911939000000.0,2018/6/5 22:56,2014/4/30 23:33,2014/4/30 23:33,
2,2,6237434701,80,120,54,2019/2/23 9:18,2019/2/23 9:18,无,75,58123,10,47708,82,54672,无,654588000000.0,2006/1/18 11:17,2006/3/22 4:03,2006/3/22 4:03,
3,3,8103500045,54,35,75,1999/11/18 10:45,1999/11/18 10:45,无,4,78369,49,73712,12,78061,无,710818000000.0,2018/2/9 13:19,2013/4/28 10:36,2013/4/28 10:36,
4,4,5874825282,60,37,6,2017/1/12 15:50,2017/1/12 15:50,无,74,60416,32,81728,41,57540,无,551294000000.0,2007/4/18 19:42,2008/2/21 1:57,2008/2/21 1:57,
5,5,4737177401,9,77,66,2018/4/10 13:46,2018/4/10 13:46,无,67,20558,59,90139,93,32847,无,564832000000.0,2019/5/23 20:49,2016/7/17 22:56,2016/7/17 22:56,
6,6,8224100335,75,41,19,2002/6/17 4:38,2002/6/17 4:38,无,13,69011,34,71560,63,51765,无,356099000000.0,2018/4/4 4:09,2004/9/2 20:37,2004/9/2 20:37,
7,7,2120376425,47,52,23,2013/12/11 6:39,2013/12/11 6:39,无,65,45882,56,79590,36,76148,无,766733000000.0,2008/2/20 2:51,2006/6/7 3:43,2006/6/7 3:43,
8,8,8678658659,77,8,96,2017/10/14 1:31,2017/10/14 1:31,无,13,90180,61,39272,78,62453,无,432984000000.0,2014/5/13 1:37,2019/5/11 0:36,2019/5/11 0:36,
9,9,7377462616,30,49,88,2002/3/16 7:03,2002/3/16 7:03,无,66,57305,42,93063,67,59985,无,684642000000.0,2013/8/8 19:16,2018/5/2 13:52,2018/5/2 13:52,
10,10,6900144085,54,74,82,2016/9/30 0:04,2016/9/30 0:04,无,63,95469,59,61030,96,46888,无,364173000000.0,2010/7/21 19:45,2013/12/8 2:40,2013/12/8 2:40,
11,11,8674555999,70,103,91,2003/12/26 15:45,2003/12/26 15:45,无,78,76926,55,26805,33,52971,无,423673000000.0,2012/8/2 23:11,2007/11/21 18:14,2007/11/21 18:14,
12,12,7848154832,69,75,66,2009/3/15 23:57,2009/3/15 23:57,无,99,24090,32,52955,49,87501,无,423519000000.0,2015/8/2 6:32,2000/7/12 0:00,2000/7/12 0:00,
13,13,8484294127,15,84,60,2002/9/24 2:37,2002/9/24 2:37,无,2,42699,39,40314,82,92993,无,648496000000.0,2014/11/14 6:49,2014/2/10 18:40,2014/2/10 18:40,
14,14,5803934451,64,87,79,2015/9/21 3:51,2015/9/21 3:51,无,54,49357,28,53702,64,56796,无,588795000000.0,2001/7/30 22:34,2017/12/15 19:34,2017/12/15 19:34,
15,15,6409950109,71,7,83,2000/12/27 12:39,2000/12/27 12:39,无,43,54666,72,22332,2,28551,无,866893000000.0,2013/9/2 19:42,2001/10/27 2:37,2001/10/27 2:37,
