col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
"USNS Sherman
FPO AA 72947",033208 20188,False,BB-106460,52.460.876,12.963.584,Norma Fisher,106460,033208 20187,Grundschule,,BB,A06,Neue+Grundschule+Marquardt+anerkannte+Ersatzschule
"805 James Turnpike
Carrmouth, GA 93500",0331 6009305,False,BB-106306,52.364.054,13.127.897,Jorge Sullivan,106306,0331 6009301,Grundschule,,BB,A01,Schiller+Grundschule+im+Sternfeld+anerkannte+Ersatzschule
"8081 Smith Trail
North Ronaldstad, NV 44515",0331 2011049,False,BB-106124,52.382.314,13.136.734,Elizabeth Woods,106124,0331 20029766,Grundschule,,BB,A02,Neue+Grundschule+Potsdam+anerkannte+Ersatzschule
"125 Ian Crossroad Apt. 593
South Deannaport, MS 07347",,False,BB-106586,52.395.952,13.114.308,Susan Wagner,106586,0331 60037130,Grundschule,,BB,,Katholische+Marienschule+Potsdam+Grundschule+-+anerkannte+Ersatzschule
"1607 Munoz River
Emilyshire, NH 54532",0331 88739428,False,BB-106446,52.372.681,13.079.388,Peter Montgomery,106446,0331 8873550,Grundschule,,BB,A08,Internationale+Grundschule+Potsdam+Primary+School+genehmigte+Ersatzschule
"3615 David Keys Apt. 269
West Stephenside, UT 65516",0331 8714813,False,BB-106010,52.376.098,13.100.796,Theodore Mcgrath,106010,0331 8714810,Grundschule,,BB,A03,Freie+Schule+Potsdam+des+Vereins+Freie+Schule+Potsdam+e.V.
"640 Mary Common
Michaelville, AZ 20721",0331 7309316,False,BB-106471,52.392.174,13.090.328,Stephanie Collins,106471,0331 7309314,Grundschule,,BB,,Evangelische+Grundschule+Potsdam-Babelsberg+-anerkannte+Ersatzschule
"PSC 4006, Box 5282
APO AE 23388",0331 2803666,False,BB-106045,52.415.616,13.063.331,Stephanie Sutton,106045,0331 2803660,Grundschule,,BB,A04,Evangelische+Grundschule+Potsdam
"395 Timothy Road
Williamsbury, LA 43567",0331 7304071,False,BB-106732,52.404.877,12.988.227,Brian Hamilton,106732,0171 8182464,Grundschule,,BB,,AWO+Grundschule+Marie+Juchacz+Potsdam+-+genehmigte+Ersatzschule
"3267 Walter Dam
Cunninghamtown, OR 01239",0331 2733039,False,BB-106320,52.359.43,13.093.65,Susan Levy,106320,0331 2733034,Grundschule,,BB,A07,Aktive+Schule+Potsdam+Grundschule
"00580 Brandon Creek
Port Eric, MS 03966",033201 20415,False,BB-103512,52.466.012,13.104.282,Sean Green,103512,033201 20414,Grundschule,,BB,6,Grundschule+Hanna+von+Pestalozza
"325 Amanda Cliffs Apt. 695
South Paulabury, MS 29996",033208 217874,False,BB-112082,52.471.927,13.004.958,Kimberly Smith,112082,033208 50260,Grundschule,,BB,7,Regenbogenschule+Fahrland
"PSC 3769, Box 1448
APO AA 71586",0331 2897521,False,BB-105429,52.389.277,13.022.926,Jennifer Summers,105429,0331 2897520,Grundschule,,BB,23,Zeppelin-Grundschule
"40956 Amanda Walk Apt. 260
Simonfurt, CT 93980",0331 2897281,False,BB-105351,52.378.114,13.097.016,April Snyder,105351,0331 2897280,Grundschule,,BB,40,Weidenhof-Grundschule
"25762 Gill Creek Suite 525
Mccoyton, KS 23687",0331 2897631,False,BB-105430,52.367.526,13.096.144,Dana Nguyen,105430,0331 2897630,Grundschule,,BB,27,Waldstadt-Grundschule
"6048 Johnson Loop Suite 635
East Daniel, GA 04593",0331 2897651,False,BB-112999,52.396.103,13.116.227,Cheryl Bradley,112999,0331 2897650,Grundschule,,BB,33,Schule+am+Griebnitzsee
"1168 Gary Fords Apt. 308
Port Trevor, RI 96954",0331 2897951,False,BB-105454,52.397.313,13.066.928,Walter Pratt,105454,0331 2897950,Grundschule,,BB,19,Rosa-Luxemburg-Schule
"164 Matthew Parkway Suite 826
Jimmyfurt, MS 62271",0331 2898131,False,BB-113001,52.360.41,13.091.496,Bobby Flores,113001,0331 2898130,Oberschule mit Grundschule,,BB,,Oberschule+Theodor+Fontane+mit+Primarstufe
"1220 Heidi Rue Apt. 998
West Haleyburgh, CO 05222",0331 2898061,False,BB-112963,52.388.863,13.013.365,Tasha Rodriguez,112963,0331 2898060,Oberschule mit Grundschule,,BB,,Montessori-Oberschule+mit+Primarstufe
"751 Wood Square Suite 732
Port Melissaburgh, SD 22365",0331 2897601,False,BB-112938,52.415.626,13.033.699,Michelle Kelley,112938,0331 2897600,Grundschule,,BB,25/26,Karl-Foerster-Schule+St%C3%A4dtische+Grundschule+Potsdam
