col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59
N200,6,2,1,2,3,3,3,2,2,3,2,2,1,1,2,1,3,2,3,3,2,3,1,1,3,2,2,2,3,3,2,2,5,2,1,3,3,2,2,3,4,2,2,1,2,4,1,2,1,3,1,2,2,2,1,1,3,2,1
N201,2,6,2,5,4,3,3,5,5,4,1,1,5,2,2,2,4,2,3,1,1,3,1,1,3,3,3,1,5,4,5,2,2,5,5,5,3,2,1,2,2,1,1,2,3,4,1,1,3,3,1,1,2,1,1,1,2,2,1
N202,2,1,6,2,2,2,1,1,2,2,3,3,2,2,3,1,3,4,3,3,2,3,1,4,1,1,4,1,1,3,2,2,3,3,2,3,3,1,2,2,3,2,3,1,2,2,3,3,2,3,3,4,4,2,3,2,3,3,3
N203,2,5,3,6,2,4,5,5,5,3,4,2,5,3,1,3,3,2,2,3,5,2,2,2,2,2,2,2,5,5,5,5,3,5,4,3,2,5,3,2,4,4,1,3,5,2,3,2,2,2,1,1,2,1,1,1,3,2,1
N204,4,4,2,2,6,3,3,4,3,5,2,2,3,2,2,2,5,2,3,3,2,2,2,2,5,2,3,3,4,4,5,2,4,4,2,4,4,3,2,2,2,2,2,2,5,3,2,1,1,3,1,1,1,2,1,1,1,2,1
N205,2,3,2,4,3,6,5,3,4,2,2,3,4,3,3,2,5,4,3,4,2,3,1,2,3,2,2,2,3,3,4,3,4,3,3,3,4,4,2,4,3,2,2,2,5,5,4,2,3,2,3,2,3,3,1,1,3,4,3
N207,4,3,1,5,2,5,6,3,4,3,1,2,3,2,3,3,3,1,4,4,1,2,1,1,3,2,3,2,3,4,3,2,3,3,2,3,2,4,2,4,3,2,2,2,3,5,5,1,2,3,2,1,1,2,1,1,1,4,1
N208,1,5,1,4,4,2,2,6,5,3,1,1,5,1,1,1,2,1,2,2,1,3,1,2,3,1,3,2,5,5,5,2,1,5,5,5,3,2,1,3,4,2,1,1,2,3,1,1,2,2,1,1,1,1,1,1,1,2,1
N209,2,5,2,3,3,3,3,5,6,3,2,2,5,2,2,2,3,1,3,1,1,3,1,2,3,3,4,2,5,5,5,2,2,5,4,5,4,3,1,3,3,3,1,2,3,3,2,1,2,2,2,1,2,2,1,1,2,3,2
N210,3,3,2,2,5,2,1,3,3,6,1,2,3,2,3,2,5,2,2,1,2,4,2,2,5,3,3,3,4,4,4,3,2,3,1,2,2,3,2,2,2,2,2,1,5,2,1,3,1,4,2,2,2,1,2,2,1,1,1
N211,2,1,4,2,3,2,3,1,3,2,6,4,1,4,1,4,2,4,3,3,5,1,3,2,1,2,1,1,2,3,3,4,3,1,3,3,3,2,3,3,2,5,2,3,2,3,3,1,1,3,2,3,1,2,3,2,3,2,1
N212,2,2,3,3,1,3,3,2,2,1,3,6,2,4,1,3,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,4,2,1,4,1,3,3,4,3,3,2,2,2,4,1,1,2,2,1
N213,2,5,3,4,3,3,2,5,5,4,1,1,6,2,2,2,4,2,3,2,2,3,2,2,3,3,3,2,5,5,5,3,2,5,4,4,3,3,2,2,3,2,2,2,3,3,2,1,3,3,2,1,3,2,2,2,3,1,1
N215,2,2,1,4,1,3,4,2,2,2,4,4,2,6,2,5,2,4,2,2,3,2,2,2,1,1,1,3,1,1,2,3,2,3,2,1,1,3,3,1,4,4,3,5,1,2,4,1,1,1,1,1,1,1,3,1,1,2,1
N216,2,2,2,3,1,4,5,2,1,1,1,1,1,1,6,2,2,3,3,5,4,3,2,2,3,3,3,2,3,4,3,5,1,3,4,4,3,1,1,3,4,1,1,1,4,5,2,4,2,2,1,1,3,4,2,3,1,5,1
N217,1,2,2,4,1,3,3,2,2,1,3,2,2,5,2,6,1,2,2,3,3,2,2,2,1,3,1,3,2,1,2,3,1,2,3,2,1,2,3,2,4,3,1,5,1,1,5,2,2,1,2,1,2,2,1,1,2,2,2
N218,3,3,3,3,5,5,3,3,3,5,1,2,3,2,3,2,6,2,3,2,2,3,3,3,5,2,5,4,4,4,4,3,3,3,2,3,3,4,3,4,2,1,3,2,5,3,3,4,3,4,2,4,4,4,2,2,3,4,2
N219,2,2,5,3,2,2,2,1,1,1,5,3,2,4,3,3,2,6,2,5,5,2,5,5,2,5,2,2,2,3,2,4,4,3,2,2,3,2,5,1,3,5,4,4,2,5,3,4,1,2,3,2,2,1,5,2,2,4,1
N220,4,3,4,3,5,4,4,3,3,4,4,2,4,3,4,3,5,3,6,4,3,5,3,2,3,3,5,4,4,4,4,3,4,3,2,5,4,4,4,5,3,3,5,3,4,5,3,3,3,5,2,4,3,3,3,3,4,3,2
N221,4,1,3,3,2,4,4,2,1,1,1,1,2,1,4,1,1,3,3,6,2,3,1,2,2,2,3,4,3,2,2,2,5,2,3,3,4,2,1,4,4,1,1,1,1,5,1,2,3,1,1,3,1,3,1,1,5,5,1
N222,2,1,3,4,2,1,2,2,1,1,5,2,1,4,4,4,1,4,2,4,6,1,4,3,1,1,2,2,1,1,1,4,3,1,1,2,2,4,3,3,3,4,3,3,4,2,4,1,1,2,1,1,1,1,3,2,2,3,1
N223,2,2,4,2,3,3,3,2,3,4,1,1,3,1,2,1,5,2,5,2,1,6,2,2,4,2,5,3,3,4,3,3,2,3,1,2,2,2,1,2,2,1,3,1,3,1,1,4,3,3,1,5,4,1,1,1,4,1,1
N224,2,3,3,4,2,2,2,2,2,3,4,3,2,4,3,3,3,5,3,3,5,3,6,5,3,4,3,4,3,3,4,5,2,2,3,2,2,3,3,2,3,4,3,4,2,3,3,4,2,2,1,2,2,3,3,3,2,3,1
N225,2,2,3,4,2,2,2,1,1,2,4,4,2,3,4,3,2,5,2,4,4,2,5,6,3,5,2,3,3,4,2,4,2,2,2,3,2,4,4,1,3,4,2,3,2,1,4,3,3,1,1,2,3,3,2,2,4,3,1
N226,4,3,1,3,5,3,3,3,5,1,2,4,4,1,3,1,5,2,3,3,2,4,1,2,6,4,4,1,4,4,4,3,4,5,3,4,3,4,3,1,2,1,2,1,5,4,2,1,1,4,1,1,1,2,2,3,1,4,1
N227,2,2,2,3,3,3,3,3,3,3,2,4,3,2,3,2,3,4,3,2,2,3,3,3,3,6,3,2,3,3,3,3,2,2,2,3,3,3,4,3,4,3,1,3,3,3,2,3,1,2,1,1,2,1,1,1,1,2,1
N228,3,3,4,3,2,3,3,3,4,4,2,2,4,3,3,3,5,4,5,3,3,5,3,3,4,3,6,5,4,4,4,5,3,3,3,4,3,4,3,2,3,2,4,3,4,3,2,4,2,5,1,4,4,3,2,2,2,4,1
N229,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,2,1,2,3,1,3,1,2,1,1,3,6,1,1,2,2,1,1,1,2,1,1,1,1,3,1,3,1,1,1,2,3,1,5,1,1,1,1,1,1,1,1,1
N230,4,5,3,4,4,3,3,5,5,4,3,3,5,3,4,3,4,3,4,4,3,4,3,3,4,3,4,3,6,5,5,4,4,5,5,5,4,4,4,4,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,4,3
N231,2,5,2,5,3,3,3,5,5,5,2,2,5,2,3,2,4,2,4,1,1,5,3,3,4,3,4,3,5,6,5,4,3,5,5,5,4,4,2,3,3,2,2,1,3,3,3,4,3,3,2,3,3,1,1,1,4,4,1
N232,2,5,1,4,5,3,2,5,5,5,2,1,4,2,3,2,4,2,3,3,2,3,2,2,3,2,3,3,5,5,6,3,2,5,4,4,3,3,2,3,3,2,2,2,3,2,2,2,2,3,1,1,2,2,1,1,2,1,1
N233,2,1,2,5,2,2,2,2,2,3,3,2,2,2,5,2,3,2,1,2,5,3,3,5,1,3,4,3,2,2,4,6,2,1,1,1,1,5,3,1,2,4,2,2,4,1,3,2,1,2,1,1,2,1,1,1,1,3,1
N234,5,2,3,2,3,3,4,1,2,1,2,2,2,2,1,3,4,4,4,5,5,1,1,3,2,2,3,3,3,3,2,2,6,1,2,1,2,1,3,3,3,2,1,2,2,5,2,2,3,2,2,2,2,2,2,2,4,3,2
N235,2,5,2,4,3,1,1,5,5,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,5,1,1,6,5,5,3,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1
N236,1,5,1,4,3,3,2,5,5,1,1,1,5,1,3,3,1,1,1,3,1,1,1,3,1,1,1,1,5,5,3,2,1,4,6,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1
N237,2,5,2,1,4,2,2,4,4,2,2,1,5,1,2,1,2,1,3,3,1,2,1,1,2,1,2,2,3,3,4,1,2,5,3,6,4,2,2,5,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1
N238,3,5,2,2,4,3,1,5,5,3,1,1,5,1,2,1,2,1,2,3,1,3,1,1,3,2,3,1,5,5,5,1,3,5,4,5,6,1,2,5,4,1,1,1,3,3,2,1,2,1,1,3,2,1,1,1,5,5,1
N240,3,3,2,5,3,4,4,3,3,3,2,2,3,3,3,3,3,2,2,3,4,2,2,2,3,2,3,2,4,4,4,5,2,2,2,3,2,6,2,3,2,2,2,2,4,3,4,1,1,4,1,1,1,2,1,1,1,2,1
N241,2,1,2,2,3,2,2,1,1,2,2,2,1,5,1,5,3,4,2,2,3,2,2,5,4,5,2,4,3,1,1,4,2,1,2,2,2,1,6,2,5,2,2,5,2,3,5,5,2,2,1,2,2,2,2,2,2,2,2
N242,4,3,2,3,5,4,4,3,3,4,2,1,2,1,2,2,3,1,5,5,3,3,1,2,3,3,3,2,3,4,5,2,5,4,3,5,4,2,4,6,3,2,3,1,3,5,1,1,2,2,1,3,2,3,3,3,4,4,1
N243,3,2,2,3,1,1,2,4,4,1,1,5,2,3,4,4,2,2,1,3,2,1,1,3,1,5,1,4,2,2,2,2,1,5,1,1,4,2,4,2,6,3,1,4,1,1,3,1,1,3,1,2,2,1,1,1,1,1,1
N244,2,1,3,3,1,4,4,1,1,1,5,1,1,5,1,5,1,5,1,2,5,1,4,4,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,5,6,1,4,1,1,4,2,2,1,1,2,1,1,1,1,2,2,1
N245,2,1,4,2,2,1,1,1,1,2,3,1,2,5,2,1,5,1,4,5,4,2,2,3,3,2,4,5,3,2,2,4,1,1,2,1,1,4,2,1,2,2,6,2,1,4,3,3,5,1,4,3,2,2,2,2,4,5,1
N246,2,3,2,3,2,3,3,2,2,2,4,3,3,5,3,5,2,3,2,3,3,2,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,2,4,2,4,3,2,6,2,2,4,2,3,2,2,2,2,3,2,3,2,2,2
N247,2,2,1,4,5,4,4,1,1,5,1,1,3,1,3,1,5,1,2,1,3,3,1,1,5,2,3,1,3,2,3,4,1,3,1,2,1,3,1,2,1,1,1,1,6,2,1,2,1,3,1,1,2,1,1,1,1,3,1
N248,4,3,2,2,4,5,5,3,3,3,2,3,3,1,5,1,3,5,4,5,2,2,3,2,3,3,3,1,3,4,3,2,5,2,2,5,4,3,4,5,3,1,3,1,4,6,3,1,2,2,1,2,1,2,2,2,3,3,1
N249,2,2,2,4,2,5,5,2,2,1,4,4,1,4,2,5,2,1,2,1,3,1,2,5,1,1,1,2,1,4,1,5,2,1,1,1,2,4,4,1,3,4,1,4,1,2,6,5,2,1,1,1,1,2,1,1,2,2,1
N250,1,3,5,3,1,2,1,5,3,3,3,5,2,3,5,3,4,5,3,1,3,5,5,5,3,4,4,4,3,4,3,2,2,3,3,2,2,4,5,2,5,3,4,3,3,2,5,6,4,5,5,5,4,5,5,5,4,4,3
N251,2,3,2,2,1,3,3,3,2,1,2,4,4,2,3,1,1,2,2,3,2,4,1,3,1,1,3,1,2,3,2,2,2,4,2,2,2,1,2,2,4,3,2,1,2,1,2,4,6,4,2,5,5,3,2,4,5,2,2
N252,3,1,3,2,2,2,1,2,1,3,1,1,1,1,1,1,4,2,2,2,1,3,1,3,4,1,4,5,3,2,2,2,1,3,1,1,1,3,1,1,2,1,4,1,3,2,1,4,2,6,1,4,2,2,1,1,2,2,2
N253,2,4,4,4,2,4,3,4,4,4,3,3,4,3,4,2,3,3,3,1,2,3,2,2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,3,2,4,4,3,3,2,2,3,5,4,3,6,4,5,3,5,5,5,3,5
N254,2,2,5,4,3,3,2,1,1,3,2,1,1,1,1,1,4,1,3,2,2,1,2,2,3,2,1,1,1,2,3,2,1,3,1,3,2,2,1,1,2,3,2,2,1,3,3,5,5,2,2,6,5,2,1,2,5,1,2
N255,1,1,2,2,1,2,1,1,2,3,2,2,3,1,3,1,5,3,3,1,1,5,3,5,2,3,5,2,3,4,3,2,2,4,1,2,2,2,2,1,3,2,2,1,3,2,2,5,5,3,3,5,6,3,2,3,5,3,3
N256,1,1,1,1,2,3,2,3,1,1,1,3,1,1,3,1,2,1,1,3,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,4,2,3,1,2,1,6,1,1,1,1,1
N257,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,1,3,2,1,1,6,5,2,2,1
N258,2,1,3,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,3,3,1,2,3,2,1,5,6,3,1,3
N259,4,2,3,3,2,2,1,3,3,2,3,1,4,1,3,1,4,1,5,5,2,5,1,1,3,2,5,1,3,3,2,3,5,4,2,4,5,3,2,2,3,1,3,1,2,4,3,4,5,3,2,4,5,1,1,1,6,4,2
N260,2,3,2,1,1,3,1,3,3,1,1,1,3,1,3,1,2,1,2,3,1,1,1,2,1,2,2,1,3,3,1,2,2,3,2,3,3,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,6,1
N261,2,2,4,3,2,3,2,3,4,3,2,3,3,2,3,2,3,2,2,1,2,1,2,3,1,2,2,1,1,2,2,1,1,2,3,2,3,2,2,2,4,3,2,3,2,2,3,3,4,2,5,2,4,3,4,4,4,3,6
