col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57
Ontario_Apple_2018,1,Malus domestica,Gala,conventional,Canada,44.50583267211914,-80.43391418457031,5,5,2018,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1721 Hansen Lodge Suite 629
Mirandaville, WI 15107"
Ontario_Apple_2018,2,Malus domestica,Gala,conventional,Canada,44.531192779541016,-80.48966979980469,5,5,2018,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1644 Cynthia Pass Apt. 009
Port Stephanieville, MS 63590"
Ontario_Apple_2018,3,Malus domestica,Gala,conventional,Canada,44.54288864135742,-80.42733001708984,5,5,2018,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216 Brandon Loop Apt. 096
New Jessica, MT 53548"
Ontario_Apple_2018,4,Malus domestica,Gala,conventional,Canada,43.20611190795898,-79.93775177001953,5,5,2018,11.232,6.83,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"782 Dawn Radial
Port Christopher, LA 35611"
Ontario_Apple_2018,5,Malus domestica,Gala,conventional,Canada,43.3396110534668,-79.94711303710938,5,5,2018,1.9734,4.07,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"008 Nancy Route Suite 228
North Stephanie, WA 42879"
Ontario_Apple_2018,6,Malus domestica,Gala,conventional,Canada,42.68899917602539,-81.23069763183594,5,5,2018,10.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Jon Isle Suite 788
North Lesliefurt, MO 71569"
Ontario_Apple_2018,7,Malus domestica,Gala,conventional,Canada,42.93897247314453,-80.3993911743164,5,5,2018,5.029,5.04,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132 Poole Pass Suite 212
North Patrick, DE 87566"
Ontario_Apple_2018,8,Malus domestica,Gala,conventional,Canada,43.13680648803711,-79.71041870117188,5,5,2018,6.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"457 Vargas Island Suite 853
Lake Patrickstad, WY 67652"
Ontario_Apple_2018,9,Malus domestica,Gala,conventional,Canada,43.18102645874024,-79.58041381835938,5,5,2018,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1569 Amy Path
North Ashleyton, HI 45184"
Ontario_Apple_2018,10,Malus domestica,Gala,conventional,Canada,44.03208160400391,-79.00919342041016,5,5,2018,5.19,6.72,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0375 Sandra Trace Suite 826
Gailshire, IL 04078"
Ontario_Apple_2018,11,Malus domestica,Gala,conventional,Canada,42.89274978637695,-80.33897399902344,5,5,2018,12.0085,7.47,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"759 Good Port
New Russell, MN 50437"
Ontario_Apple_2018,12,Malus domestica,Gala,conventional,Canada,42.87541580200195,-80.27224731445312,5,5,2018,5.73,4.08,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3895 Allen Junction
West John, WV 34147"
Ontario_Apple_2018,13,Malus domestica,Gala,conventional,Canada,43.90013885498047,-78.71630859375,5,5,2018,15.5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7329 Jacobs Station
New Tylerborough, MS 36340"
Ontario_Apple_2018,14,Malus domestica,Gala,conventional,Canada,43.92386245727539,-78.60563659667969,5,5,2018,2.982,6.16,Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5003 Cassandra Estates Suite 148
Haleychester, MD 88806"
Ontario_Apple_2018,1,Malus domestica,Gala,conventional,Canada,44.50583267211914,-80.43391418457031,6,6,2019,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10524 Parker Mall Suite 531
Port Courtneyhaven, TN 76853"
Ontario_Apple_2018,2,Malus domestica,Gala,conventional,Canada,44.531192779541016,-80.48966979980469,6,6,2019,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 Madison Stream
Christophershire, MO 93533"
Ontario_Apple_2018,4,Malus domestica,Gala,conventional,Canada,43.20611190795898,-79.93775177001953,5,5,2019,11.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4229 Derrick Wells
West Tyler, FL 96763"
Ontario_Apple_2018,5,Malus domestica,Gala,conventional,Canada,43.3396110534668,-79.94711303710938,5,5,2019,1.9734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26239 Michael Shoals
Gregoryview, VA 92174"
Ontario_Apple_2018,7,Malus domestica,Gala,conventional,Canada,42.93897247314453,-80.3993911743164,5,5,2019,5.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302 Joy Spring Apt. 622
Ryanhaven, IN 88294"
Ontario_Apple_2018,8,Malus domestica,Gala,conventional,Canada,43.13680648803711,-79.71041870117188,5,5,2019,6.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"734 Craig Overpass Suite 589
Jefferyside, CA 23464"
