col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52
15,1540015,62,Weld,Norma Fisher,Norma Fisher,Norma Fisher,Norma Fisher,Norma Fisher,A,Norma Fisher,863840,1332,,,Norma Fisher,CT,,,,"583 Wallace Ranch
Stewartbury, HI 25324",GREELEY,CO,80634,,9/2/2014,10/7/2012,Active,,1985,Male,4134862212,212-600-4,1,REP,,10/7/2012,9706736099,,,,,,,,,600019041,No,Congressional 4,State Senate 13,State House 48,N,5
69,6378092,62,Weld,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,A,Jorge Sullivan,601529996,30,,,Jorge Sullivan,CT,,,,"471 Erika Curve
North Megan, UT 71358",ERIE,CO,80516,,1/6/2020,1/6/2020,Active,,1969,Male,4236362307,307-5367,1,REP,,2/18/2005,,,,,,,,,,600029382,No,Congressional 4,State Senate 23,State House 63,N,5
122,600345718,62,Weld,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,A,Elizabeth Woods,601488251,2801,,W,Elizabeth Woods,RD,,,,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",GREELEY,CO,80634,5343.0,11/4/2014,6/24/2011,Active,,1990,Male,4135062109,109-600-1,1,UAF,,10/10/2014,,,,,,,,,,26560,No,Congressional 4,State Senate 13,State House 50,N,5
127,200033245,62,Weld,Susan Wagner,Susan Wagner,Susan Wagner,Susan Wagner,Susan Wagner,A,Susan Wagner,871427,10417,,,Susan Wagner,ST,,,,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",FIRESTONE,CO,80504,,6/27/2020,6/27/2020,Active,,1985,Female,4236362207,207-2556,1,UAF,,6/27/2020,,,,,,,,,,25872,No,Congressional 4,State Senate 23,State House 63,N,5
258,600343803,62,Weld,Peter Montgomery,Peter Montgomery,Peter Montgomery,Peter Montgomery,Peter Montgomery,A,Peter Montgomery,864856,1809,,,Peter Montgomery,AVE,,,,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",GREELEY,CO,80634,,11/6/2018,10/19/2018,Active,,1984,Female,4135062220,220-600-1,1,UAF,,5/12/2011,,,,,,,,,,600019042,No,Congressional 4,State Senate 13,State House 50,N,5
307,6299317,62,Weld,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,A,Theodore Mcgrath,600058085,95,,,Theodore Mcgrath,ST,,,,"87091 Gonzalez Knolls
Masseyshire, UT 88665",KEENESBURG,CO,80643,,3/5/2014,8/19/2007,Active,,1960,Female,4016362345,345-303,1,REP,,3/5/2014,,PO BOX 142,,,KEENESBURG,CO,80643.0,142.0,,600032142,No,Congressional 4,State Senate 1,State House 63,N,5
379,200283703,62,Weld,Stephanie Collins,Stephanie Collins,Stephanie Collins,Stephanie Collins,Stephanie Collins,A,Stephanie Collins,600867028,202,,,Stephanie Collins,AVE,,,,"225 Wilson Mills
North Thomas, OK 67164",JOHNSTOWN,CO,80534,,8/3/2020,8/3/2020,Active,,1987,Female,4234862227,227-567,1,UAF,,7/11/2013,,,,,,,,,,600025119,No,Congressional 4,State Senate 23,State House 48,N,5
461,7942875,62,Weld,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,A,Stephanie Sutton,871262,132,,,Stephanie Sutton,AVE,,,,"PSC 5642, Box 8071
APO AA 97365",FIRESTONE,CO,80520,,1/13/2012,1/13/2012,Active,,1959,Male,4236362209,209-2556,1,REP,,11/6/2007,,PO BOX 549,,,FIRESTONE,CO,80520.0,549.0,,600028043,No,Congressional 4,State Senate 23,State House 63,N,5
480,6328262,62,Weld,Brian Hamilton,Brian Hamilton,Brian Hamilton,Brian Hamilton,Brian Hamilton,A,Brian Hamilton,860384,309,,,Brian Hamilton,WAY,,,,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",SEVERANCE,CO,80550,6233.0,12/10/2007,12/10/2007,Active,,1940,Female,4234862138,138-434,1,DEM,,12/10/2007,,,,,,,,,,600004586,No,Congressional 4,State Senate 23,State House 48,N,5
482,6361491,62,Weld,Susan Levy,Susan Levy,Susan Levy,Susan Levy,Susan Levy,A,Susan Levy,865149,4414,,W,Susan Levy,ST,,,,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",GREELEY,CO,80634,1044.0,8/13/2013,4/20/2007,Active,,1969,Female,4135062132,132-600-4,1,REP,,4/20/2007,,,,,,,,,,26630,No,Congressional 4,State Senate 13,State House 50,N,5
