col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194
123,A,Norma Fisher,0,0,0,0,0,0,0,0,US,0,0,"80160 Clayton Isle Apt. 513
East Linda, ND 59217",84046,0,0,,0,0,CA,0,"71427 Odonnell Rapids
North Troyport, NH 07035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775000000,0,125000000,2500000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,B,Jorge Sullivan,0,0,0,0,0,0,0,0,US,0,0,"714 Mann Plaza Suite 839
Seanfurt, OK 32234",59238,0,0,,0,0,CA,0,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000000,0,130000000,1000000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,C,Elizabeth Woods,0,0,0,0,0,0,0,0,US,0,0,"09471 Erika Curve
North Megan, UT 71358",50131,0,0,,0,0,CA,0,"76104 Marsh Crescent
Dennishaven, SD 85034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000000,0,60000000,500000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,D,Susan Wagner,0,0,0,0,0,0,0,0,US,0,0,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",93607,0,0,,0,0,CA,0,"0003 Grant Lakes
Port Karafort, SD 60619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000000,0,10000000,1000000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,1,Peter Montgomery,0,0,0,0,0,0,0,0,US,0,0,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",88814,0,0,,0,0,CA,0,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000,0,30000000,6000000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,2,Theodore Mcgrath,0,0,0,0,0,0,0,0,US,0,0,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",74969,0,0,,0,0,CA,0,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000000,0,9000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,3,Stephanie Collins,0,0,0,0,0,0,0,0,US,0,0,"87091 Gonzalez Knolls
Masseyshire, UT 88665",54818,0,0,,0,0,CA,0,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557576,0,200000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,4,Stephanie Sutton,0,0,0,0,0,0,0,0,US,0,0,"225 Wilson Mills
North Thomas, OK 67164",04635,0,0,,0,0,CA,0,"30601 Hawkins Highway
Morashire, TX 28976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,6000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,i,Brian Hamilton,0,0,0,0,0,0,0,0,US,0,0,"PSC 5642, Box 8071
APO AA 97365",53226,0,0,,0,0,CA,0,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,0,15000000,5000000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,ii,Susan Levy,0,0,0,0,0,0,0,0,US,0,0,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",92491,0,0,,0,0,CA,0,"76582 Vanessa Oval
New Richard, NE 68819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,10000000,2000000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
