col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
0,0.0,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,9,5,2,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,9,5,1,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0,9,4,4,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1,10,5,5,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,1.0,4,30,27,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,1.0,12,26,23,2,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
8,2.0,0,11,9,2,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,2.0,0,11,9,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11,1.0,0,26,24,2,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
12,1.0,0,21,15,6,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,
13,1.0,0,29,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,
15,,0,5,2,0,0.0,0.0,,,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
16,1.0,0,25,16,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
20,2.0,0,25,17,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,,,,,,
21,2.0,0,25,17,8,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,,,,,
22,2.0,0,15,13,1,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-1.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,
24,2.0,0,25,22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
26,2.0,0,14,7,0,1.0,,1.0,1.0,1.0,,1.0,,,,0.0,0.0,,,1.0,,0.0,,,1.0,0.0,,0.0,0.0,0.0,,,,,,
27,2.0,0,7,6,0,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,0.0,,,,,,,,
28,0.0,0,25,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
29,0.0,0,9,4,5,1.0,,,1.0,,,,-1.0,,1.0,,,-1.0,,,,,1.0,,,-1.0,,,-1.0,-1.0,,,,,,
30,0.0,0,25,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
31,0.0,1,26,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
