col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
101103000000.0,庐师山庄联排别墅 独立小庭院 上下三层 诚心出售,https://bj.lianjia.com/ershoufang/101103114726.html,庐师山庄 ,2层/2006年建暂无数据/苹果园,5室2厅,535.31,南 北,2层/2006年建暂无数据/苹果园,房本满五年,3300.0,61647,30人关注/1次带看房本满五年3300万单价61647元/平米,其他,21:44.2,"116.195319,39.942990",30.0
101102000000.0,配套齐全，楼龄新，三层复式，业主诚心出售,https://bj.lianjia.com/ershoufang/101102231681.html,立恒名苑 ,高楼层(共24层)/2002年建塔楼/天宁寺,7室3厅,532.82,南 西 北,高楼层(共24层)/2002年建塔楼/天宁寺,房本满五年,2480.0,46545,97人关注/4次带看房本满五年随时看房2480万单价46545元/平米,其他,13:46.6,"116.347683,39.883466",97.0
101102000000.0,金宝街 70年产权大四居 视野开阔 朝向好 大户型！,https://bj.lianjia.com/ershoufang/101101814319.html,建国门北大街5号 ,高楼层(共24层)/2008年建塔楼/建国门内,4室1厅,508.74,东 南 西,高楼层(共24层)/2008年建塔楼/建国门内,房本满五年,2900.0,57004,136人关注/0次带看近地铁房本满五年随时看房2900万单价57004元/平米,精装,11:39.0,"116.433714,39.914319",136.0
101103000000.0,东单灯市口 霞公府 南北向4居 诚意出售 高楼层,https://bj.lianjia.com/ershoufang/101103153250.html,霞公府 ,中楼层(共7层)/2011年建板楼/东单,4室2厅,497.57,南 北,中楼层(共7层)/2011年建板楼/东单,房本满五年,6688.0,134414,196人关注/2次带看近地铁6688万单价134414元/平米,精装,12:16.7,"116.408453,39.909869",196.0
101103000000.0,外交部南街京华豪园复式，改善客户购买，70年住宅产权,https://bj.lianjia.com/ershoufang/101102754825.html,京华豪园 ,顶层(共21层)/2000年建塔楼/朝阳门外,6室3厅,483.7,西 西北 北,顶层(共21层)/2000年建塔楼/朝阳门外,房本满五年,2600.0,53753,112人关注/0次带看近地铁房本满五年2600万单价53753元/平米,简装,17:23.7,"116.436700,39.917794",112.0
101103000000.0,五栋大楼，南北通透，顶层复式，带电梯,https://bj.lianjia.com/ershoufang/101102655114.html,五栋大楼 ,高楼层(共16层)/2005年建板塔结合/车公庄,5室3厅,462.94,南 西 北,高楼层(共16层)/2005年建板塔结合/车公庄,房本满五年,2540.0,54867,107人关注/1次带看近地铁房本满五年随时看房2540万单价54867元/平米,精装,13:56.8,"116.348656,39.933556",107.0
101103000000.0,北二环 中轴国际 高层观景房 平层一梯一户,https://bj.lianjia.com/ershoufang/101103070630.html,中轴国际 ,高楼层(共21层)/2005年建板楼/安定门,4室4厅,452.8,南 西北,高楼层(共21层)/2005年建板楼/安定门,房本满五年,4972.0,109806,83人关注/0次带看近地铁房本满五年4972万单价109806元/平米,精装,11:40.5,"116.400677,39.950142",83.0
101102000000.0,东城区凯德华玺封闭式管理西南向带露台,https://bj.lianjia.com/ershoufang/101102182731.html,凯德华玺 ,低楼层(共14层)/2008年建塔楼/金宝街,6房间5卫,439.04,南 北,低楼层(共14层)/2008年建塔楼/金宝街,房本满五年,3500.0,79720,43人关注/1次带看近地铁房本满五年3500万单价79720元/平米,精装,12:21.7,"116.420545,39.923876",43.0
101103000000.0,中海九号公馆 5室3厅 3100万,https://bj.lianjia.com/ershoufang/101102507319.html,中海九号公馆 ,3层/2012年建暂无数据/科技园区,5室3厅,437.46,南 北,3层/2012年建暂无数据/科技园区,房本满五年,3100.0,70864,32人关注/5次带看近地铁房本满两年随时看房3100万单价70864元/平米,毛坯,19:01.4,"116.295990,39.817889",32.0
101103000000.0,业主诚售西山壹号院精装修一层下跃,https://bj.lianjia.com/ershoufang/101102503341.html,西山壹号院 ,底层(共6层)/2013年建板楼/西北旺,4室3厅,435.24,南 北,底层(共6层)/2013年建板楼/西北旺,房本满五年,3500.0,80416,67人关注/9次带看房本满两年随时看房3500万单价80416元/平米,精装,22:27.0,"116.268596,40.040056",67.0
