col0,col1,col2,col3,col4,col5,col6,col7,col8
2013-01-16,500.0,"Rep.  Mac Thornberry, office: House, agency: Congress; ",Paramount Strategies ,Mike Terry,N00006052,T000238,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24656
2013-03-21,500.0,"Congressman Mike Simpson, office: Rep. Michael Simpson, agency: House; ",Paramount Strategies ,Mike Terry,N00006263,S001148,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24657
2013-05-01,100.0,"Rep.  Jim Cooper, office: House, agency: Congress; ",Paramount Strategies ,Mike Terry,N00003132,C000754,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24658
2013-05-01,1000.0,"Sen.  Mark Pryor, office: Senate, agency: Congress; ",Paramount Strategies ,Mike Terry,N00013823,P000590,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24659
2013-05-10,500.0,"Common Ground, office: Sen. Tim Kaine, agency: Leadership PAC; ",Paramount Strategies ,Mike Terry,N00033177,K000384,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24660
2013-06-10,1250.0,"Rep.  Diane Black, office: House, agency: Congress; ",Paramount Strategies ,Mike Terry,N00031539,B001273,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24661
2013-07-30,500.0,"Rep.  Marcy Kaptur, office: House, agency: Congress; ",Paramount Strategies ,Congressman Lincoln Davis,N00003522,K000009,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24662
2013-03-20,500.0,"Rep. (NC) - who was accompanied by Kate Fox, Legislative assistant Mike McIntyre, office: Rep. Earl Pomeroy, agency: House; ",Paramount Strategies ,Congressman Lincoln Davis,N00008113,P000422,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24663
2013-03-20,1000.0,"Rep.  Tim Ryan, office: House, agency: Congress; ",Paramount Strategies ,Congressman Lincoln Davis,N00025280,R000577,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24664
2013-04-17,500.0,"Rep.  Marcy Kaptur, office: House, agency: Congress; ",Paramount Strategies ,Congressman Lincoln Davis,N00003522,K000009,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24665
2013-05-08,1000.0,"Rep.  Michael Michaud, office: House, agency: Congress; ",Paramount Strategies ,Congressman Lincoln Davis,N00024770,M001149,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24666
2013-05-20,250.0,"Rep.  Bruce Braley, office: House, agency: Congress; ",Paramount Strategies ,Congressman Lincoln Davis,N00027464,B001259,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24667
2013-05-29,100.0,"TWENTY-FIRST CENTURY DEMOCRATS, office: PAC; ",Paramount Strategies ,,,,http://www.fara.gov/docs/6174-Registration-Statement-20130710-1.pdf,24668
2013-10-03,400.0,"Sen.  Jon Tester, office: Senate, agency: Congress; ","Hillenby, LLC",,N00027605,T000464,http://www.fara.gov/docs/6146-Supplemental-Statement-20130731-1.pdf,24696
2013-10-03,400.0,"Sen.  Jon Tester, office: Senate, agency: Congress; ","Hillenby, LLC",,N00027605,T000464,http://www.fara.gov/docs/6146-Supplemental-Statement-20130731-1.pdf,24697
2013-10-02,34.0,test; ,"Hillenby, LLC",,,,http://www.fara.gov/docs/6146-Supplemental-Statement-20130731-1.pdf,24698
2013-10-10,30.0,DOUG DENNENY FOR CONGRESS; ,"Hillenby, LLC",,N00029289,,http://www.fara.gov/docs/6146-Supplemental-Statement-20130731-1.pdf,24703
2013-12-04,800.0,test; ,"Saudi Refining, Inc.",Test test,,,http://www.fara.gov/docs/4184-Supplemental-Statement-20131120-17.pdf,24710
