col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
Norma Fisher,1,,,,,,,,,"9342 Lori Bypass Suite 711
East Sandra, CO 92162",15.0,-70.0,,Norma Fisher,barbara42@gmail.com,,,,,,,,,,,,,,
Jorge Sullivan,2,,,,,,,,,"PSC 8684, Box 8339
APO AA 76482",15.0,-69.0,,Jorge Sullivan,salazardiane@jones-shelton.com,,,,,,,,,,,,,,
Elizabeth Woods,3,,,,,,,,,"515 Tom Roads Suite 330
Davebury, WY 22846",15.0,-68.0,,Elizabeth Woods,kirbyrachael@vega.net,,,,,,,,,,,,,,
Susan Wagner,1119030,11100.0,1.0,1.0,11.0,0.0,Ouest,Port-Au-Prince,Port-Au-Prince,"23098 Anthony Roads
New Maria, MO 12498",18.53996,-72.34001,Main: 222-1221 POC: 3486-6270,Susan Wagner,pattylawrence@riley-hayes.com,Hospital,Public,MSPP,"Access HHFML file 05-20-10. ; Bed capacity updated per PAHO EOC report March 2, 2010.  Bed capacity was noted to be ""theoretical"".  Source: Global Relief Technologies report 12 Feb    ; Updated by Global Relief Technologies 12 Feb:     Supplies generally adequate, but needs additional surgical room equipment and malaria meds.   Updated per OCHA map 1/25/10.  Facilty damaged but operating Status updated PAHO Jan 26; General Hospital: (Jan19) MSF recently began working in Port-au-Prince’s General Hospital, where staff found a working dialysis machine and immediately began putting it to use. MSF’s nephrology team carried out its first treatment on Monday and will expand their work when new dialysis machines arrive by road from the Dominican Republic. After numerous delays, the construction of an inflatable hospital has finally begun as well; when complete, it will have room for 100 beds and will house two operating theatres.Previous: Reported in Fair condition.  Updated by PARC report of Feb. 9, 2010 Facility status: pediatrics, obs-gyn, surgery rooms, administration unsafe Services in function: all specialties Percent of staff back to work: 66%, 50 physicians (37%, 50/135), 250 nurses, 100 administrative staff, 600 support staff   ",02/16/2010 00:00 EST,Open,Significant Deficiencies,GenSurg Ortho IntMed Peds OB ,,,03/04/2010 16:43 EST,400.0,400.0,"Bed capacity updated per PAHO EOC report March 2, 2010.  Bed capacity was noted to be ""theoretical"".  Source: Global Relief Technologies report 12 Feb    "
Peter Montgomery,1115002,11101.0,1.0,1.0,11.0,2.0,Ouest,Port-Au-Prince,Port-Au-Prince,"90321 Clark Union
Lake Andrewchester, CT 34569",18.53,-72.34,,Peter Montgomery,chloe79@rogers.com,Clinic,,,"GROUPED GEOCODE   PAHO Comment:   |,   Coord Source:  ME/MSPP2010; 2009_MSPP_database || ",,,,,,,06/05/2010 08:31 EST,0.0,0.0,
Theodore Mcgrath,1115003,11102.0,1.0,1.0,11.0,3.0,Ouest,Port-Au-Prince,Port-Au-Prince,"456 Bruce Mountain
New Craigfurt, KS 47497",18.53,-72.34,,Theodore Mcgrath,nathanjackson@cabrera-garcia.com,Dispensary,,,"GROUPED GEOCODE   PAHO Comment:   |,   Coord Source:  ME/MSPP2010; 2009_MSPP_database || ",,,,,,,06/05/2010 08:31 EST,0.0,0.0,
Stephanie Collins,1115004,11103.0,1.0,1.0,11.0,4.0,Ouest,Port-Au-Prince,Port-Au-Prince,"PSC 7923, Box 0225
APO AP 33359",18.53,-72.34,,Stephanie Collins,montoyacynthia@guzman.com,Clinic,Public,,"GROUPED GEOCODE   PAHO Comment:   |,   Coord Source:  ME/MSPP2010; 2009_MSPP_database || ",,,,,,,06/05/2010 08:31 EST,0.0,0.0,
Stephanie Sutton,1115001,11104.0,1.0,1.0,11.0,5.0,Ouest,Port-Au-Prince,Port-Au-Prince,"207 Mccullough Well Suite 564
New Hannah, WA 10865",18.5298,-72.3148,"Main: 245-1053, -0205",Stephanie Sutton,hdavis@jacobs.com,Hospital,,,"Access HHFML 05-20-10. UNCLEAR GEOCODE:  HHFMLv7:  18.5259/-72.3351 Updated HealthC_ID to match MSPP, 3/15/10. Damage assessment ""Fair"" (PAHO in Haiti, 17 Jan).; Bed capacity updated per PAHO EOC report March 2, 2010.  Planned cap. med/surg was only update.  Updated from Global Relief Technologies - latest data as of 2-10; Status input from OCHA map dated 1/25/10; updated from Sahana spreadsheet 2/1",02/01/2010 12:55 EST,Open,Significant Deficiencies,,,,03/04/2010 17:23 EST,30.0,30.0,"Bed capacity updated per PAHO EOC report March 2, 2010.  Planned cap. med/surg was only update.  Updated from Global Relief Technologies - latest data as of 2-10"
Brian Hamilton,1115006,11105.0,1.0,1.0,11.0,6.0,Ouest,Port-Au-Prince,Port-Au-Prince,"423 Bell Heights
Brittanyberg, ME 51359",18.53,-72.34,,Brian Hamilton,zclark@giles.net,Clinic,,,"GROUPED GEOCODE   PAHO Comment:   |,   Coord Source:  ME/MSPP2010; 2009_MSPP_database || ",,,,,,,06/05/2010 08:31 EST,0.0,0.0,
Susan Levy,1119005,11106.0,1.0,1.0,11.0,7.0,Ouest,Port-Au-Prince,Port-Au-Prince,"93523 Dana Lane
Johnsonshire, WI 87296",18.5348,-72.3473,,Susan Levy,huffchad@gmail.com,Clinic,,,,,,,,,,06/05/2010 08:31 EST,0.0,0.0,
